date,open,high,low,close,volume,symbol
2020-01-02,85.88,85.88,84.37,84.37,28600,SAB
2020-01-03,84.37,85.5,84.37,84.6,17590,SAB
2020-01-06,83.99,84.56,83.81,84.3,35850,SAB
2020-01-07,83.84,84.71,83.84,84.37,15580,SAB
2020-01-08,84.56,84.56,83.84,84.07,30610,SAB
2020-01-09,83.62,85.84,83.24,85.5,54030,SAB
2020-01-10,85.5,88.33,85.5,87.95,55770,SAB
2020-01-13,87.95,88.63,87.95,88.1,22590,SAB
2020-01-14,87.38,88.1,87.38,87.76,9340,SAB
2020-01-15,87.76,88.33,87.76,88.14,22540,SAB
2020-01-16,87.76,88.48,87.76,87.87,9270,SAB
2020-01-17,87.87,88.33,87.76,88.33,12580,SAB
2020-01-20,87.76,88.89,87.76,88.89,17170,SAB
2020-01-21,88.89,88.89,87.76,87.76,52160,SAB
2020-01-22,87.76,88.89,87.04,87.57,11510,SAB
2020-01-30,87.16,87.16,82.11,82.11,38140,SAB
2020-01-31,79.85,84.97,76.84,79.85,24730,SAB
2020-02-03,74.28,79.85,74.28,78.68,16880,SAB
2020-02-04,78.68,78.68,75.33,76.46,167140,SAB
2020-02-05,76.46,76.46,73.07,73.07,43870,SAB
2020-02-06,73.07,74.95,71.3,71.56,165080,SAB
2020-02-07,72.32,74.95,71.94,73.45,47950,SAB
2020-02-10,74.95,74.95,73.45,73.45,69570,SAB
2020-02-11,73.45,73.45,73.07,73.07,26300,SAB
2020-02-12,73.79,73.79,71.94,71.94,57410,SAB
2020-02-13,73.59,73.59,72.13,73.28,76770,SAB
2020-02-14,74.01,74.05,72.55,72.82,38650,SAB
2020-02-17,72.82,72.9,71.36,71.36,31460,SAB
2020-02-18,70.02,70.21,68.29,68.29,86320,SAB
2020-02-19,67.91,69.06,67.14,68.29,105560,SAB
2020-02-20,69.06,69.25,68.64,69.06,280190,SAB
2020-02-21,69.06,69.68,69.06,69.29,45380,SAB
2020-02-24,69.14,69.14,67.95,68.29,43780,SAB
2020-02-25,69.06,69.06,67.68,68.29,16230,SAB
2020-02-26,68.83,68.83,67.6,67.91,79880,SAB
2020-02-27,67.91,67.99,66.45,66.45,46300,SAB
2020-02-28,66.11,66.11,62.16,62.16,76910,SAB
2020-03-02,62.16,66.38,62.16,65.22,179490,SAB
2020-03-03,66.18,66.18,64.84,65.22,129270,SAB
2020-03-04,65.22,65.38,64.46,64.84,30310,SAB
2020-03-05,64.84,65.22,64.84,64.84,65380,SAB
2020-03-06,64.84,64.84,62.16,62.39,38170,SAB
2020-03-09,58.7,61.0,58.05,59.58,107570,SAB
2020-03-10,59.58,61.35,57.93,59.58,39620,SAB
2020-03-11,59.85,61.39,58.32,58.32,73120,SAB
2020-03-12,57.28,61.35,54.52,55.48,38400,SAB
2020-03-13,52.95,58.7,52.95,55.25,54560,SAB
2020-03-16,54.48,57.55,53.33,57.55,46800,SAB
2020-03-17,54.1,57.55,54.1,54.14,25320,SAB
2020-03-18,54.14,55.98,52.18,52.18,49230,SAB
2020-03-19,50.07,52.95,48.73,48.73,40740,SAB
2020-03-20,48.73,50.26,46.08,48.34,51940,SAB
2020-03-23,46.42,48.15,44.97,44.97,38230,SAB
2020-03-24,42.97,45.96,42.78,44.31,24520,SAB
2020-03-25,44.51,47.19,44.47,46.04,137910,SAB
2020-03-26,46.62,48.57,46.04,47.96,188080,SAB
2020-03-27,47.96,50.76,47.96,49.72,145570,SAB
2020-03-30,49.72,49.88,46.27,46.46,24210,SAB
2020-03-31,46.46,49.46,46.46,47.19,19220,SAB
2020-04-01,46.89,49.07,46.27,47.23,33750,SAB
2020-04-03,49.69,49.84,47.96,47.96,67800,SAB
2020-04-06,49.49,51.22,48.73,50.65,85700,SAB
2020-04-07,52.95,53.33,50.65,52.56,67530,SAB
2020-04-08,52.95,54.67,52.18,52.95,86700,SAB
2020-04-09,53.71,56.63,53.71,53.71,236310,SAB
2020-04-10,55.33,56.36,53.71,54.1,33310,SAB
2020-04-13,54.87,55.82,54.1,54.1,40030,SAB
2020-04-14,55.94,55.94,54.21,55.02,54340,SAB
2020-04-15,55.06,58.86,55.06,58.7,210030,SAB
2020-04-16,58.7,62.62,58.7,60.47,158280,SAB
2020-04-17,64.27,64.46,63.31,63.46,128300,SAB
2020-04-20,65.99,67.87,64.5,67.87,108760,SAB
2020-04-21,67.87,72.59,65.22,65.22,204650,SAB
2020-04-22,63.31,67.14,61.31,67.14,103890,SAB
2020-04-23,71.71,71.71,68.56,69.29,119240,SAB
2020-04-24,70.48,70.98,67.22,69.06,77880,SAB
2020-04-27,69.06,69.06,67.14,69.06,81050,SAB
2020-04-28,67.53,69.02,65.22,65.22,73210,SAB
2020-04-29,65.22,67.14,62.54,62.54,146240,SAB
2020-05-04,62.54,62.73,59.47,59.47,198030,SAB
2020-05-05,59.47,59.47,57.9,58.2,117620,SAB
2020-05-06,62.08,62.08,58.32,60.62,86530,SAB
2020-05-07,62.12,64.84,61.39,64.84,63680,SAB
2020-05-08,65.22,69.06,65.22,65.99,245530,SAB
2020-05-11,65.99,67.53,64.84,66.41,111670,SAB
2020-05-12,66.49,67.18,66.38,66.57,59110,SAB
2020-05-13,64.46,66.76,63.69,65.99,115740,SAB
2020-05-14,65.99,66.38,65.61,66.07,45790,SAB
2020-05-15,66.07,67.14,66.07,66.07,58620,SAB
2020-05-18,66.76,66.76,66.11,66.38,111480,SAB
2020-05-19,67.14,67.91,65.99,65.99,181100,SAB
2020-05-20,67.14,67.14,66.18,66.18,60740,SAB
2020-05-21,68.29,68.29,66.38,67.53,128710,SAB
2020-05-22,67.53,67.53,66.38,66.76,45220,SAB
2020-05-25,66.76,67.57,66.38,67.14,59220,SAB
2020-05-26,67.18,68.68,66.95,67.26,97860,SAB
2020-05-27,67.37,67.53,67.14,67.22,72140,SAB
2020-05-28,67.72,67.99,66.38,67.22,73990,SAB
2020-05-29,67.07,67.91,66.76,67.68,61380,SAB
2020-06-01,67.68,69.83,67.26,68.18,86810,SAB
2020-06-02,68.18,72.51,68.18,70.21,144460,SAB
2020-06-03,70.4,70.98,69.06,69.06,54700,SAB
2020-06-04,69.75,70.21,68.68,68.68,51660,SAB
2020-06-05,68.68,69.79,68.68,68.68,26270,SAB
2020-06-08,68.68,70.4,68.68,69.83,98910,SAB
2020-06-09,70.1,70.1,68.29,68.56,54360,SAB
2020-06-10,68.56,69.06,68.1,68.29,44990,SAB
2020-06-11,68.29,69.25,67.91,67.91,61230,SAB
2020-06-12,66.76,68.22,65.65,65.99,95400,SAB
2020-06-15,65.99,67.14,63.5,63.69,39640,SAB
2020-06-16,64.65,66.34,63.69,63.73,62570,SAB
2020-06-17,66.68,66.68,63.73,63.73,37500,SAB
2020-06-18,63.73,64.99,63.69,63.81,24530,SAB
2020-06-19,63.81,64.84,63.81,63.81,26650,SAB
2020-06-22,63.69,64.84,63.69,63.69,52660,SAB
2020-06-23,63.31,64.11,62.92,62.92,38700,SAB
2020-06-24,63.31,63.69,61.39,61.39,82380,SAB
2020-06-25,61.39,62.92,61.0,61.39,56510,SAB
2020-06-26,61.39,63.42,61.39,63.23,78810,SAB
2020-06-29,61.77,62.92,61.58,61.58,59040,SAB
2020-06-30,61.58,62.92,60.24,60.24,62530,SAB
2020-07-01,59.85,63.31,59.85,62.54,58620,SAB
2020-07-02,62.54,64.07,62.35,64.04,46960,SAB
2020-07-03,64.46,67.49,63.31,67.14,200340,SAB
2020-07-06,68.22,69.83,68.22,69.25,146350,SAB
2020-07-07,70.4,72.36,70.21,71.02,244640,SAB
2020-07-08,70.98,74.32,69.6,74.05,357430,SAB
2020-07-09,74.78,79.23,74.78,78.65,285960,SAB
2020-07-10,78.65,82.87,78.27,79.04,190990,SAB
2020-07-13,79.04,80.49,76.73,76.73,150810,SAB
2020-07-14,75.58,76.54,73.28,74.82,180690,SAB
2020-07-15,75.01,77.5,73.47,73.47,258700,SAB
2020-07-16,73.28,74.05,72.9,74.05,358550,SAB
