date,open,high,low,close,volume,symbol
2020-01-02,5.98,6.08,5.96,6.08,991450,SSI
2020-01-03,6.11,6.14,5.99,6.02,703890,SSI
2020-01-06,5.99,6.04,5.96,6.01,1348120,SSI
2020-01-07,6.01,6.04,5.99,6.02,643090,SSI
2020-01-08,5.96,5.98,5.79,5.86,2622960,SSI
2020-01-09,5.93,5.96,5.89,5.93,1149130,SSI
2020-01-10,5.94,6.06,5.91,6.04,2067400,SSI
2020-01-13,6.01,6.11,6.01,6.04,1125380,SSI
2020-01-14,6.04,6.09,6.02,6.08,1066740,SSI
2020-01-15,6.09,6.09,6.04,6.08,830260,SSI
2020-01-16,6.08,6.31,6.08,6.31,2384770,SSI
2020-01-17,6.34,6.44,6.27,6.36,2832740,SSI
2020-01-20,6.36,6.36,6.27,6.36,1288010,SSI
2020-01-21,6.31,6.42,6.29,6.36,1541100,SSI
2020-01-22,6.36,6.4,6.32,6.37,1729500,SSI
2020-01-30,6.26,6.26,5.98,6.11,2412920,SSI
2020-01-31,5.98,6.04,5.7,5.84,4457280,SSI
2020-02-03,5.55,5.64,5.45,5.63,3144570,SSI
2020-02-04,5.64,5.7,5.55,5.61,1782240,SSI
2020-02-05,5.64,5.7,5.58,5.6,2164080,SSI
2020-02-06,5.61,5.84,5.58,5.84,2870780,SSI
2020-02-07,5.84,5.93,5.78,5.84,2561750,SSI
2020-02-10,5.68,5.81,5.55,5.79,775620,SSI
2020-02-11,5.79,5.81,5.74,5.76,1521880,SSI
2020-02-12,5.78,5.88,5.78,5.88,2789960,SSI
2020-02-13,5.81,5.84,5.79,5.81,1264660,SSI
2020-02-14,5.81,5.89,5.78,5.88,1102790,SSI
2020-02-17,5.88,5.93,5.83,5.83,1955060,SSI
2020-02-18,5.83,5.84,5.74,5.79,1478110,SSI
2020-02-19,5.81,5.83,5.76,5.81,1668460,SSI
2020-02-20,5.84,5.89,5.78,5.81,1664520,SSI
2020-02-21,5.81,5.83,5.76,5.76,1197860,SSI
2020-02-24,5.63,5.66,5.36,5.36,3482920,SSI
2020-02-25,5.23,5.43,5.23,5.41,1693240,SSI
2020-02-26,5.28,5.51,5.25,5.32,1038320,SSI
2020-02-27,5.28,5.45,5.27,5.45,1490420,SSI
2020-02-28,5.33,5.35,5.22,5.25,1987700,SSI
2020-03-02,5.3,5.32,5.2,5.22,2114140,SSI
2020-03-03,5.32,5.36,5.27,5.27,2088500,SSI
2020-03-04,5.28,5.43,5.25,5.36,2852970,SSI
2020-03-05,5.46,5.6,5.43,5.55,3298460,SSI
2020-03-06,5.53,5.53,5.43,5.51,1362870,SSI
2020-03-09,5.13,5.22,5.13,5.13,3576610,SSI
2020-03-10,4.92,5.17,4.92,5.13,3374030,SSI
2020-03-11,5.23,5.23,4.79,4.79,3614130,SSI
2020-03-12,4.56,4.62,4.46,4.47,4606030,SSI
2020-03-13,4.19,4.54,4.19,4.39,4484960,SSI
2020-03-16,4.46,4.49,4.36,4.39,2897920,SSI
2020-03-17,4.32,4.69,4.23,4.69,4834780,SSI
2020-03-18,4.75,4.75,4.49,4.52,3190370,SSI
2020-03-19,4.42,4.59,4.39,4.52,2568540,SSI
2020-03-20,4.62,4.64,4.49,4.57,2868770,SSI
2020-03-23,4.36,4.42,4.26,4.26,3296350,SSI
2020-03-24,4.28,4.29,4.03,4.13,3009990,SSI
2020-03-25,4.29,4.41,4.21,4.41,2376040,SSI
2020-03-26,4.36,4.37,4.26,4.28,1256940,SSI
2020-03-27,4.29,4.31,4.08,4.08,2469460,SSI
2020-03-30,3.93,3.93,3.8,3.8,2427550,SSI
2020-03-31,3.85,3.94,3.66,3.83,1680730,SSI
2020-04-01,3.83,4.09,3.83,4.09,3715270,SSI
2020-04-03,4.26,4.37,4.23,4.37,4544530,SSI
2020-04-06,4.61,4.67,4.56,4.67,5473010,SSI
2020-04-07,4.79,4.8,4.62,4.67,6377610,SSI
2020-04-08,4.59,4.79,4.49,4.74,4091610,SSI
2020-04-09,4.97,5.04,4.95,5.04,5507100,SSI
2020-04-10,5.08,5.2,4.97,5.08,3233820,SSI
2020-04-13,5.02,5.12,4.97,5.02,3573400,SSI
2020-04-14,4.99,5.04,4.87,5.04,3902110,SSI
2020-04-15,5.08,5.14,5.04,5.1,3075990,SSI
