date,pnj_buy,pnj_sell,sjc_buy,sjc_sell
2020-01-01,42310.0,42810.0,42200.0,42600.0
2020-01-02,42480.0,42980.0,42300.0,42800.0
2020-01-03,42650.0,43150.0,42550.0,42950.0
2020-01-04,43000.0,43500.0,42900.0,43300.0
2020-01-05,43000.0,43500.0,42900.0,43300.0
2020-01-06,43000.0,43500.0,42900.0,43300.0
2020-01-07,43000.0,43500.0,42900.0,43300.0
2020-01-08,43000.0,43500.0,42900.0,43300.0
2020-01-09,43700.0,44200.0,43500.0,43950.0
2020-01-10,43700.0,44200.0,43500.0,43950.0
2020-01-11,43700.0,44200.0,43500.0,43950.0
2020-01-12,43700.0,44200.0,43500.0,43950.0
2020-01-13,43700.0,44200.0,43500.0,43950.0
2020-01-14,43700.0,44200.0,43500.0,43950.0
2020-01-15,43700.0,44200.0,43500.0,43950.0
2020-01-16,43700.0,44200.0,43500.0,43950.0
2020-01-17,43700.0,44200.0,43500.0,43950.0
2020-01-18,43700.0,44200.0,43500.0,43950.0
2020-01-19,43700.0,44200.0,43500.0,43950.0
2020-01-20,43700.0,44200.0,43500.0,43950.0
2020-01-21,43700.0,44200.0,43500.0,43950.0
2020-01-22,43700.0,44200.0,43500.0,43950.0
2020-01-23,43600.0,44200.0,43600.0,44000.0
2020-01-24,43600.0,44200.0,43600.0,44000.0
2020-01-25,43600.0,44200.0,43600.0,44000.0
2020-01-26,43600.0,44200.0,43600.0,44000.0
2020-01-27,43600.0,44200.0,43600.0,44000.0
2020-01-28,43600.0,44200.0,43600.0,44000.0
2020-01-29,43600.0,44200.0,43600.0,44000.0
2020-01-30,43600.0,44200.0,43600.0,44000.0
2020-01-31,43600.0,44200.0,43600.0,44000.0
2020-02-01,43600.0,44200.0,43600.0,44000.0
2020-02-02,43600.0,44200.0,43600.0,44000.0
2020-02-03,43600.0,44200.0,43600.0,44000.0
2020-02-04,43600.0,44200.0,43600.0,44000.0
2020-02-05,43600.0,44200.0,43600.0,44000.0
2020-02-06,43600.0,44200.0,43600.0,44000.0
2020-02-07,43600.0,44200.0,43600.0,44000.0
2020-02-08,43600.0,44200.0,43600.0,44000.0
2020-02-09,43600.0,44200.0,43600.0,44000.0
2020-02-10,43600.0,44200.0,43600.0,44000.0
2020-02-11,43600.0,44200.0,43600.0,44000.0
2020-02-12,43600.0,44200.0,43600.0,44000.0
2020-02-13,43600.0,44200.0,43600.0,44000.0
2020-02-14,43900.0,44450.0,43900.0,44350.0
2020-02-15,43900.0,44450.0,43900.0,44350.0
2020-02-16,43900.0,44450.0,43900.0,44350.0
2020-02-17,43900.0,44450.0,43900.0,44350.0
2020-02-18,43900.0,44450.0,43900.0,44350.0
2020-02-19,43900.0,44450.0,43900.0,44350.0
2020-02-20,43900.0,44450.0,43900.0,44350.0
2020-02-21,43900.0,44450.0,43900.0,44350.0
2020-02-22,43900.0,44450.0,43900.0,44350.0
2020-02-23,43900.0,44450.0,43900.0,44350.0
2020-02-24,43900.0,44450.0,43900.0,44350.0
